x,y,yaw,0.266,2.151,0.002
-4297.721,1724.485,-1.508,-130.45,25.187,-0.01
-4299.934,1724.907,-1.507,-134.046,25.835,0.003
-4301.705,1725.347,-1.504,-132.57,26.565,0.032
-4303.505,1725.668,-1.5,-131.602,25.961,0.067
-4305.37,1725.772,-1.496,-131.444,23.207,0.093
-4306.904,1725.936,-1.493,-127.908,21.483,0.106
-4308.623,1726.029,-1.49,-126.788,19.282,0.12
-4309.97,1726.1,-1.487,-122.019,17.18,0.133
-4311.715,1726.126,-1.485,-122.032,14.927,0.13
-4313.172,1726.532,-1.483,-119.088,16.91,0.132
-4314.665,1726.728,-1.48,-116.939,16.44,0.141
-4316.022,1726.752,-1.477,-113.72,14.261,0.148
-4317.602,1726.819,-1.476,-113.259,12.861,0.139
-4319.149,1726.696,-1.476,-112.523,9.7,0.124
-4320.432,1726.927,-1.474,-109.185,10.65,0.116
-4321.622,1726.889,-1.471,-105.379,8.693,0.129
-4322.936,1727.172,-1.469,-103.41,10.331,0.133
-4324.455,1727.197,-1.466,-103.833,9.064,0.137
-4325.791,1727.402,-1.465,-102.321,9.85,0.127
-4326.762,1727.563,-1.464,-97.272,10.053,0.118
-4327.426,1727.683,-1.463,-89.803,9.816,0.112
-4329.042,1727.808,-1.463,-93.234,9.656,0.096
-4330.34,1727.992,-1.465,-92.884,10.127,0.06
-4331.82,1728.164,-1.468,-94.458,10.406,0.03
-4333.136,1728.45,-1.469,-94.113,11.827,0.008
-4334.546,1728.783,-1.47,-94.791,13.517,0.001
-4335.978,1729.014,-1.472,-95.581,13.906,-0.022
-4337.347,1729.255,-1.474,-95.623,14.333,-0.032
-4338.674,1729.467,-1.475,-95.224,14.413,-0.04
-4340.124,1729.551,-1.478,-96.147,13.158,-0.056
-4341.205,1729.6,-1.48,-93.133,11.726,-0.068
-4342.574,1729.838,-1.481,-93.529,12.457,-0.07
-4344.011,1730,-1.482,-94.571,12.283,-0.067
-4345.084,1730.117,-1.483,-91.706,11.683,-0.064
-4346.926,1730.32,-1.482,-97.179,12.063,-0.047
-4348.711,1730.721,-1.482,-101.266,14.415,-0.044
-4350.105,1731.08,-1.48,-100.724,15.992,-0.014
-4351.784,1731.269,-1.48,-103.198,15.582,-0.014
-4353.671,1731.564,-1.48,-107.449,16.331,-0.015
-4355.543,1731.899,-1.479,-110.917,17.376,-0.003
-4357.678,1732.027,-1.478,-116.579,16.137,0.009
-4359.695,1732.05,-1.476,-120.206,14.004,0.022
-4361.224,1732.045,-1.475,-118.265,11.889,0.031
-4362.92,1732.233,-1.474,-118.335,12.079,0.036
-4364.679,1732.393,-1.472,-119.033,11.947,0.047
-4366.323,1732.548,-1.472,-118.449,11.789,0.045
-4367.999,1732.693,-1.47,-118.29,11.542,0.052
-4369.87,1732.885,-1.467,-120.155,11.827,0.073
-4371.272,1733.031,-1.465,-116.915,11.583,0.089
-4373.204,1733.154,-1.464,-119.611,11.147,0.078
-4375.006,1733.175,-1.463,-120.568,9.731,0.076
-4376.347,1733.177,-1.462,-116.641,8.311,0.075
-4378.283,1733.316,-1.464,-119.419,8.522,0.053
-4379.979,1733.445,-1.462,-119.315,8.6,0.056
