x,y,1.444,-0.084,-1.489,0
-4640.308,-1363.011,1.444,47.389,168.729,-0.02
-4639.686,-1360.782,1.442,46.826,166.852,-0.029
-4638.976,-1358.468,1.441,47.251,166.142,-0.033
-4638.302,-1356.072,1.442,47.235,166.372,-0.026
-4637.562,-1353.63,1.442,47.902,167.045,-0.015
-4636.866,-1351.156,1.444,48.027,167.949,0.001
-4636.25,-1348.594,1.445,47.305,169.62,0.011
-4635.618,-1346.119,1.447,46.851,170.153,0.025
-4634.851,-1343.581,1.447,47.862,171.263,0.021
-4634.211,-1340.96,1.446,47.405,173.054,0.012
-4633.495,-1338.495,1.446,47.806,172.978,0.008
-4632.84,-1336.203,1.445,47.524,171.141,0
-4632.09,-1333.845,1.445,48.255,170.244,-0.004
-4631.383,-1331.465,1.444,48.438,169.708,-0.006
-4630.686,-1329.185,1.444,48.486,168.222,-0.012
-4629.893,-1326.856,1.443,49.526,167.453,-0.02
-4629.118,-1324.549,1.442,50.218,166.583,-0.02
-4628.447,-1322.099,1.442,49.741,167.309,-0.018
-4627.904,-1319.733,1.442,48.011,167.052,-0.015
-4627.105,-1317.389,1.442,49.176,166.617,-0.012
-4626.403,-1314.889,1.443,49.171,167.855,-0.003
-4625.729,-1312.402,1.443,48.874,168.768,0
-4624.892,-1310.065,1.443,50.314,168.006,-0.007
-4624.029,-1307.604,1.442,51.791,168.631,-0.008
-4623.268,-1305.212,1.442,52.013,168.453,-0.007
-4622.557,-1302.961,1.441,51.676,166.853,-0.017
-4622.049,-1300.588,1.44,49.308,166.752,-0.022
-4621.412,-1298.274,1.44,48.612,166.042,-0.02
-4621.027,-1295.853,1.441,45.428,166.555,-0.009
-4620.541,-1293.45,1.441,43.755,166.79,-0.01
-4620.031,-1290.889,1.441,42.57,168.633,-0.01
-4619.361,-1288.499,1.44,43.199,168.431,-0.011
-4618.892,-1285.965,1.44,41.677,169.747,-0.018
-4618.338,-1283.381,1.439,41.256,171.389,-0.019
-4617.784,-1280.774,1.439,40.887,173.018,-0.014
-4617.16,-1278.324,1.438,41.3,172.793,-0.022
-4616.463,-1275.808,1.439,42.4,173.286,-0.012
-4615.834,-1273.425,1.44,42.637,172.329,-0.003
-4615.153,-1271,1.44,43.377,171.956,0.003
-4614.523,-1268.598,1.442,43.482,171.396,0.014
-4613.75,-1265.453,1.441,45.048,178.561,0.009
-4612.985,-1262.421,1.441,46.299,183.517,0.004
-4612.084,-1259.51,1.443,48.764,186.496,0.019
-4611.343,-1256.618,1.442,49.224,188.843,0.012
-4610.644,-1253.733,1.442,49.185,190.77,0.007
-4610.091,-1250.988,1.441,47.636,190.974,-0.002
-4609.388,-1248.411,1.44,47.876,189.409,-0.01
-4608.802,-1246.063,1.439,46.863,185.731,-0.021
-4608.184,-1243.607,1.438,46.333,183.695,-0.021
-4607.755,-1241.303,1.44,43.936,180.405,-0.004
-4607.104,-1238.88,1.44,44.181,178.818,0.001
-4606.36,-1236.431,1.441,45.333,177.724,0.007
-4605.687,-1233.886,1.441,45.603,177.79,0.004
-4604.856,-1231.357,1.442,47.441,177.673,0.014
-4604.096,-1228.908,1.442,48.293,176.757,0.013
-4603.337,-1226.455,1.442,49.006,176.017,0.015
-4602.653,-1223.945,1.443,48.844,175.968,0.016
-4602.108,-1221.527,1.442,47.263,174.979,0.006
-4601.61,-1219.163,1.441,45.444,173.586,-0.008
-4601.105,-1216.829,1.44,43.954,172.081,-0.014
-4600.679,-1214.389,1.44,41.877,171.903,-0.013
-4600.216,-1211.894,1.44,40.487,172.301,-0.008
-4599.725,-1209.394,1.441,39.59,172.701,-0.001
-4599.158,-1206.983,1.442,39.599,172.117,0.009
-4598.444,-1204.602,1.443,41.124,171.316,0.016
-4597.739,-1202.129,1.442,42.342,171.581,0.011
-4596.976,-1199.733,1.443,43.969,171.017,0.017
-4596.258,-1197.335,1.443,44.887,170.551,0.01
-4595.58,-1194.994,1.443,45.269,169.567,0.014
-4594.912,-1192.607,1.443,45.488,169.203,0.008
-4594.358,-1190.3,1.442,44.502,168.071,0
-4593.79,-1188.04,1.441,43.81,166.622,-0.006
-4593.282,-1185.652,1.44,42.59,166.701,-0.017
-4592.487,-1183.421,1.439,44.512,165.147,-0.024
-4591.764,-1181.175,1.44,45.409,163.985,-0.016
-4591.219,-1178.745,1.44,44.339,164.884,-0.014
-4590.478,-1176.216,1.441,45.453,166.672,-0.003
-4589.723,-1173.747,1.441,46.54,167.573,-0.001
-4588.962,-1171.135,1.441,47.526,169.822,0.001
-4588.484,-1168.465,1.441,45.459,172.335,0.005
-4587.933,-1165.843,1.442,44.444,173.978,0.007
-4587.304,-1163.338,1.441,44.386,174.179,0.004
